title,company,ratings,reviews,experience,salary,location,days_posted,url
Senior Analyst/Data Scientist - Data Science,Tiger Analytics,3.6,238 Reviews,2-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai",27 Days Ago,https://www.naukri.com/job-listings-senior-analyst-data-scientist-data-science-tiger-analytics-hyderabad-secunderabad-chennai-2-to-7-years-140223006104
Executive Manager - Sales,Pepsi Foods,4.4,43 Reviews,5-8 Yrs,Not disclosed,Hyderabad/Secunderabad,30+ Days Ago,https://www.naukri.com/job-listings-executive-manager-sales-pepsi-foods-priv-limited-hyderabad-secunderabad-5-to-8-years-311222500223
Data Scientist I,Novartis,4.1,1273 Reviews,7-12 Yrs,Not disclosed,Hyderabad/Secunderabad,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-i-novartis-healthcare-pvt-ltd-hyderabad-secunderabad-7-to-12-years-291222500110
Data Scientist,Acme Services,4.8,24 Reviews,3-8 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nasik/Nashik, Pune, Aurangabad",19 Days Ago,https://www.naukri.com/job-listings-data-scientist-acme-services-mumbai-nagpur-thane-nasik-nashik-pune-aurangabad-3-to-8-years-210223502968
Data Scientist,Varite,3.8,89 Reviews,7-12 Yrs,Not disclosed,Pune,6 Days Ago,https://www.naukri.com/job-listings-data-scientist-varite-pune-7-to-12-years-070323500262
Intern - Data Science,Smaclify Technologies,4.7,4 Reviews,0-2 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-intern-data-science-mynexthire-com-pune-0-to-2-years-240123501515
ML / Data Scientist,Gibots,2.2,3 Reviews,0-2 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-ml-data-scientist-gibots-pune-0-to-2-years-181022501324
Data Scientist Jr. & Sr.,Thyssenkrupp Materials Services,4.5,2 Reviews,0-4 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-jr-sr-thyssenkrupp-elevator-india-pvt-ltd-pune-0-to-4-years-160822501383
Jr. AIML developer,Saisystems Health Tech,3.8,13 Reviews,0-2 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-jr-aiml-developer-saisystems-health-tech-pvt-ltd-pune-0-to-2-years-110123501594
Intern - Data Scientist,Tridiagonal Solutions,3.8,21 Reviews,0-1 Yrs,Not disclosed,Pune,30+ Days Ago,https://www.naukri.com/job-listings-intern-data-scientist-tridiagonal-solutions-pvt-ltd-pune-0-to-1-years-040822501683
Data Scientist / Senior Data Scientist,Holcim,3.6,226 Reviews,4-9 Yrs,Not disclosed,"Navi Mumbai, Mumbai (All Areas)",12 Days Ago,https://www.naukri.com/job-listings-data-scientist-senior-data-scientist-holcim-navi-mumbai-mumbai-all-areas-4-to-9-years-070922008028
Senior Data Scientist (Computer Vision/Deep Learning),Here Technologies,4.0,1070 Reviews,7-12 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-computer-vision-deep-learning-micello-india-pvt-ltd-mumbai-7-to-12-years-030323501490
"Data Miner, Global Analytic",Stream Global Services,4.7,12 Reviews,3-6 Yrs,Not disclosed,Mumbai,10 Days Ago,https://www.naukri.com/job-listings-data-miner-global-analytic-stream-global-services-pvt-ltd-mumbai-3-to-6-years-030323501199
Data Scientist - DSR,Danske Bank,4.0,18 Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-dsr-danske-bank-bangalore-bengaluru-5-to-9-years-310123502200
Lead Business Analyst,Ecolab Digital Center (EDC),3.6,36 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,18 Days Ago,https://www.naukri.com/job-listings-lead-business-analyst-ecolab-digital-center-bangalore-bengaluru-3-to-5-years-271022501812
Lead/Manager Data Scientist,ACL Digital,3.7,333 Reviews,6-11 Yrs,15-30 Lacs PA,Hybrid - Bangalore/Bengaluru,16 Days Ago,https://www.naukri.com/job-listings-lead-manager-data-scientist-acl-digital-bangalore-bengaluru-6-to-11-years-250223004543
Data Scientist II,Porter,3.9,236 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,16 Days Ago,https://www.naukri.com/job-listings-data-scientist-ii-porter-in-bangalore-bengaluru-3-to-5-years-240223501641
Data Scientist,Blackhawk Network,3.8,29 Reviews,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,16 Days Ago,https://www.naukri.com/job-listings-data-scientist-blackhawk-network-bangalore-bengaluru-7-to-11-years-240223501067
Data Scientist,Hudsons bay Company (HBC),3.9,123 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,17 Days Ago,https://www.naukri.com/job-listings-data-scientist-hudsons-bay-services-private-limited-bangalore-bengaluru-3-to-5-years-240223500142
Associate Data Scientist,ABInBev ,3.4,26 Reviews,3-4 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,17 Days Ago,https://www.naukri.com/job-listings-associate-data-scientist-abinbev-bangalore-bengaluru-3-to-4-years-240223012283
Data Scientist,GKN,4.4,23 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,17 Days Ago,https://www.naukri.com/job-listings-data-scientist-gkn-aerospace-bangalore-bengaluru-3-to-6-years-230223503191
Manager - Data Science,Digit88,4.2,10 Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,19 Days Ago,https://www.naukri.com/job-listings-manager-data-science-digit88-bangalore-bengaluru-5-to-7-years-220223501607
Data Scientist II,roposo,3.4,12 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,19 Days Ago,https://www.naukri.com/job-listings-data-scientist-ii-roposo-bangalore-bengaluru-2-to-5-years-210223501633
